Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
GNB2,0.197240667,7.426852619,2.406458405,0.020904775,0.047268332,-3.861167225,7.556393423,7.349128137
NCF2,0.26961658,8.04010783,2.405703435,0.020942319,0.047343354,-3.862755366,8.215655633,7.934779149
NTPCR,-0.159286884,-0.062985657,-2.405649309,0.020945013,0.047343354,-3.86286921,-0.148180382,-0.011868822
NTAN1,0.289895863,2.554169356,2.405453644,0.020954755,0.047350332,-3.863280741,2.714439779,2.458007103
ZCCHC4,-0.182008309,0.049813777,-2.405445491,0.020955161,0.047350332,-3.863297889,-0.061242593,0.116447599
RNF115,-0.123658563,1.395523119,-2.40514705,0.020970027,0.047375942,-3.863925531,1.325283434,1.43766693
RDX,0.142270038,0.38005494,2.404707992,0.020991915,0.047417406,-3.864848799,0.456465277,0.334208738
MLST8,-0.192783237,1.926880734,-2.403851266,0.021034685,0.047506016,-3.866649998,1.817952698,1.992237556
C17orf53,0.443978372,-0.532341831,2.40351937,0.021051275,0.047535481,-3.867347655,-0.237696767,-0.709128869
TRABD,-0.182107243,5.097751819,-2.40309964,0.021072273,0.047574886,-3.86822984,4.990766015,5.161943302
C1orf115,0.29652786,0.272216699,2.402413501,0.021106639,0.047636437,-3.869671719,0.469523738,0.153832475
ZNF275,-0.304550126,0.675996548,-2.402414152,0.021106606,0.047636437,-3.869670351,0.483752493,0.791342982
PTGER2,-0.306970184,3.230379907,-2.40149885,0.021152529,0.047731977,-3.871593327,2.995283384,3.37143782
SPHK1,0.275792436,0.835183086,2.401053695,0.021174896,0.047774412,-3.872528366,0.990186833,0.742180838
TBC1D5,0.171643199,1.588888567,2.400960228,0.021179595,0.047776977,-3.872724675,1.701250532,1.521471388
C6orf120,0.225499028,1.914228131,2.400762343,0.021189547,0.047791389,-3.873140274,2.040696369,1.838347189
GPSM1,-0.213009325,0.183441845,-2.400096066,0.021223085,0.047858984,-3.874539412,0.060814711,0.257018125
B4GAT1,-0.255044951,0.771768564,-2.39953203,0.021251514,0.047915038,-3.875723625,0.597624764,0.876254844
SCD,0.281567685,0.247516148,2.398613594,0.02129788,0.048011508,-3.877651474,0.438222456,0.133092362
ZNF599,-0.135382062,-0.525843759,-2.39846793,0.021305243,0.048020033,-3.877957181,-0.60492599,-0.478394421
BLOC1S3,-0.195329507,3.415031622,-2.398229725,0.021317287,0.048039107,-3.878457075,3.293663448,3.487852527
ECT2,0.212909486,-0.110092383,2.398037926,0.021326989,0.048052898,-3.878859555,0.026736294,-0.192189589
ID3,-0.721809217,2.146280379,-2.396936061,0.021382805,0.048170568,-3.881171303,1.759547383,2.378320177
PRR5L,-0.335028356,1.908526234,-2.396846846,0.02138733,0.048172671,-3.881358444,1.677734097,2.047001515
TICAM1,-0.240121419,3.04623076,-2.396688689,0.021395354,0.048182653,-3.881690188,2.899863712,3.134050988
DNASE1L1,0.166788665,3.149409122,2.395848659,0.021438017,0.048269396,-3.883451936,3.259897204,3.083116273
TRMT44,-0.118577707,0.062273907,-2.395788627,0.021441069,0.048269396,-3.88357782,-0.003976612,0.102024219
CCNYL1,0.175152189,1.53463751,2.395640261,0.021448614,0.048278277,-3.883888927,1.649927495,1.465463518
ARL6IP5,-0.302974692,5.571953266,-2.395022036,0.021480075,0.048340982,-3.885185119,5.366258865,5.695369907
BRD9,-0.135509784,1.465086944,-2.394508664,0.021506233,0.04839173,-3.886261285,1.383005669,1.514335709
CCRL2,0.332958559,0.99998863,2.394094484,0.021527357,0.048431137,-3.887129391,1.195106274,0.882918044
IQGAP2,0.298951452,2.612623428,2.393279024,0.021569003,0.048516692,-3.888838246,2.770323795,2.518003208
PUS10,0.164726035,-0.267020045,2.392895201,0.02158863,0.048552698,-3.889642426,-0.161770362,-0.330169854
ZNF16,-0.141450837,0.144464648,-2.39257333,0.021605101,0.048581597,-3.89031673,0.051656379,0.20014961
COL6A2,-0.637573803,1.967266947,-2.391901412,0.021639523,0.048650842,-3.89172415,1.554818177,2.214736209
DR1,0.177956198,2.316341991,2.391829336,0.021643218,0.048650995,-3.891875106,2.420735225,2.253706051
UBLCP1,0.250358758,3.427758433,2.391552141,0.021657435,0.048674796,-3.892455628,3.575631386,3.339034661
TMEM94,-0.187395923,2.043403383,-2.389443204,0.021765877,0.048910322,-3.896870695,1.926991833,2.113250313
CERS2,-0.120042292,4.674771673,-2.387848104,0.021848223,0.049087138,-3.900208125,4.602093908,4.718378331
LRFN1,0.392074222,3.792274749,2.386727789,0.021906226,0.049209214,-3.902551175,4.040253483,3.643487509
ARMC2,0.203980276,-0.119608611,2.386237824,0.021931638,0.049258047,-3.90357564,0.015050283,-0.200403947
DERL3,-0.424290965,0.481124867,-2.386123789,0.021937556,0.04926309,-3.903814054,0.208330528,0.644801471
ZNF568,-0.141451337,-0.393794841,-2.386011074,0.021943407,0.04926798,-3.904049699,-0.487186677,-0.337759739
PDAP1,-0.101021071,4.028192405,-2.385775359,0.021955647,0.049287213,-3.904542464,3.971407634,4.062263267
SOX4,0.275071957,0.82846521,2.385518628,0.021968986,0.049305253,-3.905079123,1.000194483,0.725427645
CDK8,0.196723609,0.891113594,2.385479199,0.021971035,0.049305253,-3.90516154,1.016105059,0.816118715
NOXA1,-0.394144045,0.483582996,-2.38470444,0.022011337,0.04938743,-3.906780783,0.236903741,0.631590549
NOMO3,0.411766882,1.396906955,2.383927722,0.022051807,0.049453416,-3.908403725,1.677233754,1.228710876
KCTD20,0.16558191,3.176012492,2.383950921,0.022050597,0.049453416,-3.908355257,3.28577098,3.110157399
ZNF276,-0.216783244,3.29549658,-2.383951198,0.022050583,0.049453416,-3.90835468,3.149024688,3.383379716
SCNN1A,0.136518016,-0.530446959,2.382705718,0.022115614,0.049579932,-3.910956295,-0.442215073,-0.58338609
PRNP,-0.352754681,3.399215094,-2.382739254,0.022113861,0.049579932,-3.910886258,3.150697139,3.548325867
AHCY,-0.273371433,2.676345565,-2.382439598,0.022129532,0.049602843,-3.911512049,2.512710963,2.774526325
PTTG1IP,0.16732136,5.400818496,2.382006588,0.022152195,0.049645345,-3.912416231,5.488268401,5.348348553
NAPSA,-0.154667402,-0.691370442,-2.381517826,0.0221778,0.049694427,-3.913436681,-0.785063144,-0.635154821
FAM168B,-0.189479751,3.20278592,-2.38126985,0.022190802,0.049698652,-3.913954352,3.095402215,3.267216142
CD200R1,-0.326081761,0.417324323,-2.381401529,0.022183897,0.049698652,-3.913679466,0.219581006,0.535970313
C8orf59,-0.407636733,0.980071581,-2.381285489,0.022189982,0.049698652,-3.913921705,0.703506591,1.146010576
RFX1,0.282356638,3.009588874,2.380964755,0.022206808,0.049718465,-3.914591212,3.202725475,2.893706913
NCKIPSD,-0.250594222,1.659071483,-2.380889278,0.022210769,0.049718465,-3.914748753,1.510611526,1.748147457
BCL2,-0.327850203,1.500419614,-2.380890421,0.022210709,0.049718465,-3.914746368,1.298674406,1.621466738
ARSA,0.227109463,4.739136344,2.380080731,0.022253243,0.049805232,-3.916436187,4.896864299,4.644499571
NDUFV2,-0.211014426,3.275486294,-2.3799518,0.022260023,0.049812094,-3.916705227,3.149953983,3.350805681
MBTD1,0.188251477,1.122180298,2.379183932,0.02230044,0.049894212,-3.918307307,1.235319283,1.054296906
GSTM3,-0.388629459,-0.15380077,-2.378493502,0.022336837,0.049967311,-3.919747492,-0.410764455,0.00037744
CERS3,0.112885887,-0.905248054,2.378339333,0.022344972,0.049977173,-3.920069035,-0.83429517,-0.947819784
USP27X,-0.222358442,0.561872899,-2.378037042,0.02236093,0.050004527,-3.920699463,0.419498823,0.647297344
SNX3,0.287468306,5.987938896,2.37787867,0.022369294,0.050014893,-3.921029725,6.154405708,5.888058809
FBXO7,0.620248494,6.010968205,2.377434814,0.022392752,0.050050655,-3.921955234,6.367668822,5.796947835
MINOS1,-0.216520205,1.66773158,-2.37745999,0.022391421,0.050050655,-3.921902741,1.543102364,1.742509111
C4orf3,0.2350793,4.895166219,2.376892373,0.02242145,0.050106449,-3.923086132,5.026434486,4.816405259
