Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
CCT2,1.823201914,2.951032047,7.101618068,1.36E-07,1.43E-05,7.589620426,4.493741359,2.670539444
CLIP1,-1.464753972,1.796198116,-7.097043767,1.38E-07,1.43E-05,7.578559915,0.556790909,2.021544881
PICALM,-1.060368023,5.581739432,-7.0892145,1.41E-07,1.45E-05,7.559622831,4.684504951,5.744872974
C11orf58,-1.699158736,3.703702833,-7.086109201,1.42E-07,1.45E-05,7.552109715,2.265953133,3.965111869
CCNG2,-2.385032287,2.916703073,-7.078872669,1.44E-07,1.47E-05,7.534596541,0.898598831,3.283631117
SREK1IP1,1.879382327,1.477219771,7.063516951,1.50E-07,1.52E-05,7.497412117,3.067466355,1.188084028
ATG2B,-1.14411961,0.300039608,-7.060756193,1.51E-07,1.52E-05,7.49072368,-0.668061601,0.47605801
CDK17,-1.689413269,1.603766195,-7.054348628,1.54E-07,1.52E-05,7.475196487,0.17426266,1.863675928
RNF2,-2.410201475,1.28887864,-7.057414879,1.52E-07,1.52E-05,7.482627456,-0.750522608,1.659678867
ZNF146,-1.037369946,4.381104082,-7.04708602,1.56E-07,1.53E-05,7.457591046,3.503329512,4.540699458
UGP2,-1.153205564,5.444427548,-7.050737646,1.55E-07,1.53E-05,7.466443861,4.468638225,5.621843789
CLDN22,1.4096529,-0.748483492,7.028983425,1.64E-07,1.59E-05,7.413679286,0.444299732,-0.965353169
PRELID3B,-2.412309659,2.790166239,-7.026522062,1.65E-07,1.59E-05,7.407705541,0.748981143,3.161290802
HP1BP3,-2.486932602,3.600191866,-7.019726614,1.67E-07,1.61E-05,7.391208999,1.49586428,3.982796881
PMFBP1,1.915575096,1.097009323,7.015265637,1.69E-07,1.62E-05,7.380376447,2.717880558,0.802305462
BCLAF1,-1.04424258,3.742213279,-7.006776082,1.73E-07,1.64E-05,7.359754462,2.858623404,3.902865984
SNX17,1.471266118,3.90373496,6.998975464,1.76E-07,1.67E-05,7.34079804,5.148652444,3.677386326
DDX46,-1.369287653,2.509748363,-6.993360505,1.79E-07,1.68E-05,7.327148336,1.351120349,2.720408001
KPNA1,-1.575276122,0.941704745,-6.983368639,1.83E-07,1.71E-05,7.302848874,-0.391221205,1.184054917
ATP6V1H,2.135068465,2.924872081,6.971073472,1.89E-07,1.73E-05,7.272930947,4.731468475,2.596400009
SCLY,1.006807776,0.793764779,6.978022401,1.86E-07,1.73E-05,7.289842135,1.645679051,0.638871275
BCL9L,-1.33969306,2.494298601,-6.971358995,1.89E-07,1.73E-05,7.273625923,1.360712166,2.700405226
XPOT,-1.512671242,0.976425862,-6.971637454,1.89E-07,1.73E-05,7.274303698,-0.303526727,1.209144515
MAVS,1.396293313,0.010644353,6.954602441,1.97E-07,1.79E-05,7.232822525,1.192123311,-0.204170003
