Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
RPL8,-1.044476986,8.822606034,-13.32295598,8.46E-26,7.86E-24,48.10121594,8.09449393,9.137018079
ANO10,0.814737706,4.789493466,13.31706009,8.74E-26,8.01E-24,48.06879036,5.355010159,4.545293075
FAM177A1,0.667305372,4.249701554,13.31705857,8.74E-26,8.01E-24,48.06878199,4.715574059,4.048529336
SCAMP3,-0.620448101,5.559852671,-13.30807945,9.19E-26,8.37E-24,48.01939445,5.127737964,5.746447658
CCPG1,0.858971505,5.05526065,13.29931951,9.65E-26,8.72E-24,47.97120656,5.655851063,4.79591479
PKNOX1,0.689901697,4.713146908,13.29039757,1.01E-25,9.05E-24,47.92212151,5.196966261,4.504224914
LCK,-1.169821679,7.074567925,-13.29139452,1.01E-25,9.05E-24,47.92760665,6.260765251,7.425982716
DUSP13,2.215979496,1.395643311,13.27077032,1.13E-25,1.00E-23,47.81411891,2.935062629,0.73089406
E2F3,0.818818441,6.374307614,13.26889928,1.14E-25,1.01E-23,47.80382162,6.945751506,6.127547752
REPS2,1.343493058,6.139385907,13.25512073,1.23E-25,1.08E-23,47.7279833,7.078468286,5.733873062
GNAI3,0.641351855,4.973455289,13.25136108,1.26E-25,1.09E-23,47.7072874,5.419524854,4.78083434
AMN1,0.877735595,5.431263943,13.23681178,1.37E-25,1.18E-23,47.62718736,6.048029319,5.16493344
SMARCB1,-0.666668273,6.571078172,-13.23448395,1.38E-25,1.19E-23,47.61437016,6.103209395,6.773112417
PHC2,1.205963233,8.53074347,13.22902369,1.43E-25,1.22E-23,47.58430413,9.372361357,8.167317565
HNRNPF,-0.575573182,7.850603575,-13.2264285,1.45E-25,1.23E-23,47.57001332,7.447949714,8.024476833
CNEP1R1,0.725552594,5.83924679,13.21986791,1.50E-25,1.26E-23,47.53388433,6.342899094,5.621760568
SLC9A8,0.732293544,6.683201308,13.19849775,1.69E-25,1.40E-23,47.41617723,7.197036132,6.461318089
CUTA,-0.653800089,5.724518158,-13.19801983,1.69E-25,1.40E-23,47.41354447,5.267926353,5.921682801
RASA3,-0.94464038,7.761381868,-13.19798806,1.69E-25,1.40E-23,47.41336948,7.101652671,8.046264931
SUN2,-0.878881627,8.554536409,-13.19123068,1.76E-25,1.45E-23,47.37614253,7.938608252,8.820505386
ERGIC1,1.019060933,7.374350469,13.18273269,1.85E-25,1.51E-23,47.32932161,8.085362627,7.067322491
KIT,1.474701308,1.948917306,13.16256086,2.06E-25,1.67E-23,47.21816106,2.974458615,1.506069923
PTMA,-0.997897096,7.849918019,-13.16164989,2.07E-25,1.67E-23,47.21314027,7.150887579,8.151772072
SLC37A3,1.100455472,4.698951024,13.15813577,2.12E-25,1.70E-23,47.1937718,5.466519593,4.367500961
SUMF2,-0.640215303,6.031858372,-13.14345179,2.30E-25,1.80E-23,47.1128298,5.58451171,6.225030795
CCND2,-0.877299441,6.899850631,-13.14471188,2.28E-25,1.80E-23,47.11977634,6.285766095,7.165023499
SAMHD1,-1.009543158,9.003905355,-13.14480134,2.28E-25,1.80E-23,47.12026951,8.298795884,9.308384444
S1PR1,-1.289452208,7.433415805,-13.14591404,2.26E-25,1.80E-23,47.12640349,6.539480102,7.819433494
SEC61A1,-0.527504223,7.178563103,-13.12616922,2.53E-25,1.97E-23,47.01754378,6.807482821,7.338802316
ZNF674,0.726182386,3.745776409,13.12306567,2.57E-25,1.99E-23,47.00043031,4.250408592,3.527867058
HSPA9,-0.612506748,6.025424825,-13.11075396,2.75E-25,2.12E-23,46.93253497,5.596420996,6.210676478
HEATR5A,0.752435493,4.119219576,13.09325791,3.04E-25,2.32E-23,46.836031,4.643346573,3.892892009
SPRY3,0.898129464,0.458167735,13.08515297,3.18E-25,2.42E-23,46.79131875,1.082951622,0.188374692
IKBKE,-0.831190961,6.104417975,-13.07423078,3.38E-25,2.56E-23,46.73105739,5.525191447,6.354538521
PRKX,-0.605784293,5.746292248,-13.06592391,3.54E-25,2.66E-23,46.68521995,5.346523384,5.918919712
LRRN1,1.763270945,3.100289247,13.06242469,3.61E-25,2.68E-23,46.66590982,4.336209283,2.566596504
HSPA8,-0.926127651,8.431221787,-13.06391213,3.58E-25,2.68E-23,46.67411824,7.782077299,8.711534179
PCED1B,-1.120532079,6.34620747,-13.05426339,3.77E-25,2.79E-23,46.62086896,5.572523057,6.680298466
RBBP4,-0.447485722,6.20634581,-13.04955912,3.87E-25,2.85E-23,46.59490482,5.891016309,6.342510822
PUS10,0.749169807,3.419203765,13.04658235,3.94E-25,2.88E-23,46.5784744,3.936742473,3.195721141
RRAGD,0.976128902,5.29197521,13.04199695,4.04E-25,2.94E-23,46.55316384,5.974955956,4.997051705
FAM78A,-0.601076399,7.21297176,-13.02645046,4.41E-25,3.18E-23,46.4673394,6.793118224,7.394272151
KIAA1147,-0.806754825,5.690830385,-13.02678874,4.40E-25,3.18E-23,46.46920703,5.129658415,5.933154644
AHNAK,-1.22324161,8.843603813,-13.02316745,4.49E-25,3.22E-23,46.44921336,7.98388423,9.214846361
HMGA1,-0.759767919,6.687108153,-13.02050159,4.56E-25,3.23E-23,46.43449422,6.160007145,6.914719952
ZC3H12D,-1.070335147,4.876799803,-13.02118179,4.54E-25,3.23E-23,46.43824985,4.136472948,5.1964864
RPL28,-0.894979783,7.935033496,-13.01421637,4.72E-25,3.33E-23,46.39978929,7.312060276,8.204044659
UBXN2B,0.695506185,7.413356281,13.00423965,4.99E-25,3.48E-23,46.34469561,7.899994699,7.203216963
RBMX,-0.671401154,6.662647822,-13.00538211,4.96E-25,3.48E-23,46.35100485,6.191963628,6.865897815
CYP26C1,1.275647897,1.906403617,12.98146361,5.66E-25,3.91E-23,46.21889573,2.797730678,1.521512387
KHDRBS1,-0.424969153,7.256083539,-12.9821897,5.64E-25,3.91E-23,46.22290671,6.956582034,7.385413735
NOXRED1,1.174257301,3.12897512,12.97574553,5.85E-25,4.02E-23,46.1873073,3.95053114,2.774212293
RBM14,-0.698151924,7.379734346,-12.97247048,5.96E-25,4.07E-23,46.16921391,6.89279323,7.590004373
SLC7A6,-0.862604417,6.030112751,-12.96862575,6.09E-25,4.14E-23,46.14797232,5.432714333,6.28808025
CHMP3,0.493001548,5.881260291,12.95212373,6.67E-25,4.52E-23,46.0567898,6.226645006,5.732116891
EYS,1.198258922,0.38683817,12.94080034,7.11E-25,4.79E-23,45.99421143,1.22162673,0.026361292
PLD1,0.923968957,3.286628089,12.92080094,7.95E-25,5.33E-23,45.88366451,3.926032806,3.010521506
NMNAT1,0.748162061,3.84235651,12.91692806,8.12E-25,5.42E-23,45.86225405,4.363696251,3.61723253
FNBP4,-0.598998872,6.299487389,-12.91371758,8.27E-25,5.46E-23,45.84450478,5.878815596,6.481141118
SEPTIN6,-0.855969322,6.948234542,-12.91366672,8.27E-25,5.46E-23,45.84422363,6.364569232,7.200271834
TPP2,-0.800761765,6.840819898,-12.91084712,8.40E-25,5.52E-23,45.82863479,6.278088782,7.083817426
SNRPB,-0.556150561,7.328151125,-12.90323879,8.77E-25,5.72E-23,45.78656773,6.93671618,7.497179852
RPL13,-1.178935744,8.572507989,-12.90268497,8.79E-25,5.72E-23,45.78350546,7.752016033,8.926811333
ANKRD6,0.875975677,2.768939966,12.8921639,9.33E-25,6.04E-23,45.72532696,3.380154804,2.505006286
UBE2G2,-0.497435705,5.646335093,-12.88866161,9.51E-25,6.13E-23,45.70595869,5.300641592,5.795611832
DOK2,-0.861125657,7.688196142,-12.87838953,1.01E-24,6.46E-23,45.64914775,7.083988344,7.949104054
EIF4B,-0.799757156,7.905292495,-12.87689625,1.02E-24,6.48E-23,45.64088839,7.344938032,8.147263741
TRIM44,-0.498499761,4.972385294,-12.87484299,1.03E-24,6.53E-23,45.6295316,4.623822752,5.122900937
SPOCK2,-1.168928039,7.606546519,-12.87037991,1.05E-24,6.66E-23,45.60484482,6.792356242,7.958128684
GBE1,0.769274957,4.884245796,12.86160523,1.11E-24,6.96E-23,45.55630546,5.418279017,4.653640541
TUBB,-0.625918637,7.876760365,-12.8583564,1.13E-24,7.06E-23,45.53833246,7.437765627,8.066326274
CSNK2A1,-0.413191401,6.51713062,-12.85534618,1.15E-24,7.15E-23,45.52167892,6.227039974,6.642397035
OSBPL9,0.532739681,5.380391922,12.85193386,1.17E-24,7.25E-23,45.50280008,5.749824982,5.220864009
IRF2BP2,-0.579082206,7.097339069,-12.84868044,1.19E-24,7.35E-23,45.48479966,6.690465326,7.273034549
CAPN2,-0.75057026,6.821542252,-12.84664255,1.20E-24,7.40E-23,45.47352415,6.295397344,7.048741189
PLXNA2,1.336042826,3.35650841,12.83937012,1.25E-24,7.67E-23,45.43328409,4.291865851,2.95260406
ZNF608,2.074515868,2.555039053,12.82471008,1.36E-24,8.29E-23,45.35215649,4.008337002,1.927478575
CD74,-1.206118855,10.86061683,-12.80712221,1.50E-24,9.10E-23,45.25480844,10.01674276,11.22501699
RPL19,-1.051343911,8.299742707,-12.79898148,1.57E-24,9.48E-23,45.20974328,7.568039797,8.615705327
KIAA0825,1.199937103,4.764763125,12.79301292,1.62E-24,9.76E-23,45.17670015,5.601498977,4.403445371
CEP97,0.878154838,4.065225671,12.78492548,1.70E-24,1.02E-22,45.13192287,4.680201121,3.799668091
CACNA1E,1.586203155,3.112854798,12.77561422,1.79E-24,1.07E-22,45.08036467,4.238373547,2.626835338
B3GNT5,1.181386898,3.955358282,12.77054004,1.84E-24,1.09E-22,45.05226574,4.776462591,3.600790512
