Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
SKIV2L,-0.148929762,0.157541803,-1.559328401,0.12149102,0.432202456,-5.248010824,0.055,0.203929762
NME3,-0.087867105,0.291406557,-1.556241966,0.122222922,0.432202456,-5.25264074,0.230907895,0.318775
TXK,0.346566667,-0.069869672,1.555623128,0.122370089,0.432202456,-5.25356799,0.16875,-0.177816667
PCBD1,0.245969549,1.28499918,1.554660319,0.122599335,0.432202456,-5.255009932,1.454355263,1.208385714
ATRAID,-0.114127757,0.57930082,-1.558269729,0.121741676,0.432202456,-5.249599914,0.500721053,0.61484881
CD226,-0.159469298,0.573545902,-1.55623174,0.122225353,0.432202456,-5.252656066,0.463747368,0.623216667
LAYN,-0.171170551,0.986089344,-1.555381438,0.122427604,0.432202456,-5.253930035,0.868234211,1.039404762
FGF2,-0.206308271,1.141961475,-1.553710537,0.122825813,0.432317441,-5.256431524,0.999913158,1.206221429
DYNLT1,0.500886278,3.196695902,1.551433142,0.123370209,0.433714169,-5.259836831,3.541568421,3.040682143
RNF168,-0.164507581,0.36532541,-1.548389065,0.124100852,0.434815745,-5.264381035,0.252057895,0.416565476
ICAM3,-0.115992607,0.307316393,-1.548278751,0.124127394,0.434815745,-5.26454555,0.227452632,0.343445238
CXCL8.2,-0.42578891,2.208395082,-1.548812524,0.123999009,0.434815745,-5.263749409,1.915228947,2.341017857
LAMA1,-0.273775877,0.001017213,-1.543328936,0.125322948,0.435514791,-5.271915832,-0.187484211,0.086291667
CALCA,0.221721115,0.62867377,1.54408126,0.125140652,0.435514791,-5.270797081,0.781334211,0.559613095
COPE,-0.329895363,0.472164754,-1.536984137,0.126868704,0.435514791,-5.281330075,0.245023684,0.574919048
PPP1R14D,0.206098308,0.798790984,1.537663884,0.126702385,0.435514791,-5.280323268,0.940694737,0.734596429
IL18R1,0.118194173,0.478146721,1.536600834,0.126962565,0.435514791,-5.281897616,0.559526316,0.441332143
PLA2G2A,0.296279762,0.744404098,1.542711581,0.125472695,0.435514791,-5.272833483,0.9484,0.652120238
SFTPA2,0.363509524,2.059414754,1.540758268,0.125947428,0.435514791,-5.275734612,2.3097,1.946190476
MERTK,0.120805764,1.137032787,1.544425348,0.125057346,0.435514791,-5.270285229,1.220210526,1.099404762
NID2,-0.315325877,1.91442541,-1.545751938,0.124736577,0.435514791,-5.268310811,1.697315789,2.012641667
NLGN1,0.237919048,-0.199363115,1.537499193,0.126742665,0.435514791,-5.280567238,-0.03555,-0.273469048
ANXA10,0.324480702,0.563134426,1.542168151,0.125604629,0.435514791,-5.273640959,0.786547368,0.462066667
FGFBP2,0.216076942,0.246533607,1.537573852,0.126724404,0.435514791,-5.280456642,0.395307895,0.179230952
FGF19,-0.283751566,-0.085609016,-1.53840651,0.126520877,0.435514791,-5.279222838,-0.280978947,0.002772619
KRT5,-0.212415789,0.514987705,-1.536471389,0.126994276,0.435514791,-5.282089249,0.368734211,0.58115
